t, PE, KE, TE,q1, q2,
0.056250, 672.663269, 591.074724, 1263.737993,0.323423, 0.193448,
0.056875, 672.946629, 597.489438, 1270.436067,0.318094, 0.197287,
0.057500, 673.227391, 603.790244, 1277.017635,0.312734, 0.201152,
0.058125, 673.505451, 609.974680, 1283.480131,0.307344, 0.205044,
0.058750, 673.780694, 616.041295, 1289.821989,0.301924, 0.208962,
0.059375, 674.053018, 621.987773, 1296.040791,0.296476, 0.212906,
0.060000, 674.322312, 627.812817, 1302.135129,0.291000, 0.216875,
0.060625, 674.588477, 633.514255, 1308.102732,0.285497, 0.220870,
0.061250, 674.851405, 639.090940, 1313.942345,0.279966, 0.224890,
0.061875, 675.111000, 644.540846, 1319.651846,0.274410, 0.228934,
0.062500, 675.367158, 649.862973, 1325.230131,0.268827, 0.233002,
0.063125, 675.619784, 655.055443, 1330.675227,0.263220, 0.237095,
0.063750, 675.868781, 660.117401, 1335.986182,0.257588, 0.241211,
0.064375, 676.114056, 665.047112, 1341.161168,0.251932, 0.245351,
0.065000, 676.355515, 669.843867, 1346.199382,0.246252, 0.249513,
0.065625, 676.593069, 674.506074, 1351.099143,0.240550, 0.253698,
0.066250, 676.826627, 679.033167, 1355.859794,0.234826, 0.257906,
0.066875, 677.056105, 683.423695, 1360.479800,0.229080, 0.262136,
0.067500, 677.281416, 687.677232, 1364.958648,0.223314, 0.266388,
0.068125, 677.502478, 691.792469, 1369.294947,0.217527, 0.270661,
0.068750, 677.719208, 695.769118, 1373.488326,0.211720, 0.274956,
0.069375, 677.931529, 699.606007, 1377.537537,0.205894, 0.279272,
0.070000, 678.139362, 703.302986, 1381.442348,0.200049, 0.283608,
0.070625, 678.342633, 706.859018, 1385.201651,0.194186, 0.287964,
0.071250, 678.541268, 710.274085, 1388.815353,0.188305, 0.292341,
0.071875, 678.735196, 713.547287, 1392.282483,0.182408, 0.296737,
0.072500, 678.924348, 716.678736, 1395.603084,0.176494, 0.301153,
0.073125, 679.108656, 719.667664, 1398.776320,0.170564, 0.305588,
0.073750, 679.288056, 722.514309, 1401.802365,0.164619, 0.310042,
0.074375, 679.462484, 725.218034, 1404.680518,0.158660, 0.314514,
0.075000, 679.631880, 727.779202, 1407.411081,0.152686, 0.319005,
0.075625, 679.796184, 730.197302, 1409.993486,0.146698, 0.323514,
0.076250, 679.955341, 732.472818, 1412.428159,0.140698, 0.328040,
0.076875, 680.109295, 734.605365, 1414.714660,0.134685, 0.332584,
0.077500, 680.257993, 736.595544, 1416.853538,0.128660, 0.337145,
0.078125, 680.401387, 738.443092, 1418.844479,0.122623, 0.341723,
0.078750, 680.539427, 740.148724, 1420.688151,0.116576, 0.346318,
0.079375, 680.672067, 741.712295, 1422.384362,0.110518, 0.350929,
0.080000, 680.799264, 743.134631, 1423.933895,0.104451, 0.355556,
0.080625, 680.920975, 744.415703, 1425.336678,0.098374, 0.360198,
0.081250, 681.037162, 745.556444, 1426.593606,0.092289, 0.364856,
0.081875, 681.147786, 746.556937, 1427.704724,0.086195, 0.369529,
0.082500, 681.252813, 747.418218, 1428.671032,0.080094, 0.374217,
0.083125, 681.352209, 748.140480, 1429.492690,0.073985, 0.378920,
